locationabbr,income,obesity_pct,income_mid,state_median_income,rel_income,state_inc_quintile,rel_income_c,state_inc_c,income_bin
GA,15000 - 24999,35.76799040099086,19999.5,72420,-52420.5,Q2,-0.46959563714164276,-0.685792377054528,15-24k
GA,25000 - 34999,34.513974344420475,29999.5,72420,-42420.5,Q2,-0.07586527802845876,-0.685792377054528,25-34k
GA,35000 - 49999,33.842295081967215,42499.5,72420,-29920.5,Q2,0.4162976708630212,-0.685792377054528,35-49k
GA,50000 - 74999,34.02402585901523,62499.5,72420,-9920.5,Q2,1.2037583890893893,-0.685792377054528,50-74k
GA,75000 or greater,28.02835458081244,75000.0,72420,2580.0,Q2,1.695941024498825,-0.685792377054528,50-74k
GA,Less than 15000,37.22641181581234,15000.0,72420,-57420.0,Q2,-0.6664411301802791,-0.685792377054528,<15k
HI,15000 - 24999,25.38023868023868,19999.5,97360,-77360.5,Q5(high),-1.4515591527699236,1.2345289422276484,15-24k
HI,25000 - 34999,24.66566164154104,29999.5,97360,-67360.5,Q5(high),-1.0578287936567397,1.2345289422276484,25-34k
HI,35000 - 49999,24.619761415055535,42499.5,97360,-54860.5,Q5(high),-0.5656658447652596,1.2345289422276484,35-49k
HI,50000 - 74999,25.111172951161823,62499.5,97360,-34860.5,Q5(high),0.22179487346110832,1.2345289422276484,50-74k
HI,75000 or greater,22.640772499034377,75000.0,97360,-22360.0,Q5(high),0.713977508870544,1.2345289422276484,50-74k
HI,Less than 15000,27.909753136382033,15000.0,97360,-82360.0,Q5(high),-1.64840464580856,1.2345289422276484,<15k
IA,15000 - 24999,37.394417890064865,19999.5,80860,-60860.5,Q3,-0.8019040602331701,-0.035932235324713645,15-24k
IA,25000 - 34999,36.41338079782222,29999.5,80860,-50860.5,Q3,-0.4081737011199861,-0.035932235324713645,25-34k
IA,35000 - 49999,35.626728144060415,42499.5,80860,-38360.5,Q3,0.08398924777149394,-0.035932235324713645,35-49k
IA,50000 - 74999,35.87860911575869,62499.5,80860,-18360.5,Q3,0.871449965997862,-0.035932235324713645,50-74k
IA,75000 or greater,31.288368846738106,75000.0,80860,-5860.0,Q3,1.3636326014072975,-0.035932235324713645,50-74k
IA,Less than 15000,38.24423393739704,15000.0,80860,-65860.0,Q3,-0.9987495532718064,-0.035932235324713645,<15k
