locationabbr,income,sex,ageyears,race_ethnicity,education,obesity_pct,total_sample_size,strat_type
MD,Data not reported,,,,,28.210755510194165,41151.0,income
MD,"Less than $15,000",,,,,35.44337404932013,8678.0,income
ME,"$15,000 - $24,999",,,,,33.77170068800819,17587.0,income
ME,"$25,000 - $34,999",,,,,32.36742111471543,13564.0,income
ME,"$35,000 - $49,999",,,,,31.845457707693203,17249.0,income
ME,"$50,000 - $74,999",,,,,30.912092951360258,19408.0,income
ME,"$75,000 or greater",,,,,26.565452930728245,25898.0,income
ME,Data not reported,,,,,27.197441620169457,24195.0,income
ME,"Less than $15,000",,,,,35.93980032638955,10417.0,income
MI,"$15,000 - $24,999",,,,,37.42636835278859,15420.0,income
MI,"$25,000 - $34,999",,,,,34.87187575054038,12491.0,income
MI,"$35,000 - $49,999",,,,,34.69556309622895,15619.0,income
MI,"$50,000 - $74,999",,,,,33.82272444066837,17655.0,income
MI,"$75,000 or greater",,,,,29.379036238014663,28368.0,income
MI,Data not reported,,,,,29.285110139566164,23788.0,income
MI,"Less than $15,000",,,,,37.591810573153936,9439.0,income
MN,"$15,000 - $24,999",,,,,32.605792635957485,19473.0,income
MN,"$25,000 - $34,999",,,,,30.805053255870245,16524.0,income
MN,"$35,000 - $49,999",,,,,30.821266144399743,23615.0,income
MN,"$50,000 - $74,999",,,,,31.427522565000675,29692.0,income
MN,"$75,000 or greater",,,,,26.366200297287257,53820.0,income
MN,Data not reported,,,,,26.987208885704046,36283.0,income
MN,"Less than $15,000",,,,,31.814217252396165,9390.0,income
MO,"$15,000 - $24,999",,,,,36.1224632555215,12723.0,income
MO,"$25,000 - $34,999",,,,,35.94627813683976,8974.0,income
MO,"$35,000 - $49,999",,,,,34.9122816032888,11676.0,income
MO,"$50,000 - $74,999",,,,,34.60028130525639,12442.0,income
MO,"$75,000 or greater",,,,,31.38367938754205,17242.0,income
MO,Data not reported,,,,,29.31422154210682,20258.0,income
MO,"Less than $15,000",,,,,37.085655029381265,8679.0,income
MS,"$15,000 - $24,999",,,,,41.1812440645774,12636.0,income
MS,"$25,000 - $34,999",,,,,39.29011805279215,7539.0,income
MS,"$35,000 - $49,999",,,,,37.84601867780782,8138.0,income
MS,"$50,000 - $74,999",,,,,37.06012316199573,7957.0,income
MS,"$75,000 or greater",,,,,32.313626147218585,10678.0,income
MS,Data not reported,,,,,32.820503812229035,13378.0,income
MS,"Less than $15,000",,,,,41.678303393213575,10020.0,income
MT,"$15,000 - $24,999",,,,,28.114653834212973,12884.0,income
MT,"$25,000 - $34,999",,,,,27.432873851294904,9576.0,income
MT,"$35,000 - $49,999",,,,,27.49255542968118,12358.0,income
MT,"$50,000 - $74,999",,,,,27.75489026535138,13077.0,income
MT,"$75,000 or greater",,,,,24.83893984514592,16790.0,income
MT,Data not reported,,,,,24.293405471621067,14694.0,income
MT,"Less than $15,000",,,,,30.526939426142402,7528.0,income
NC,"$15,000 - $24,999",,,,,35.52324760463944,11898.0,income
NC,"$25,000 - $34,999",,,,,34.24124373634846,7783.0,income
NC,"$35,000 - $49,999",,,,,33.235734627149036,9481.0,income
NC,"$50,000 - $74,999",,,,,32.147057013945854,9752.0,income
NC,"$75,000 or greater",,,,,27.22488499316176,16086.0,income
NC,Data not reported,,,,,27.695257857796765,16385.0,income
NC,"Less than $15,000",,,,,35.79839507823994,7477.0,income
ND,"$15,000 - $24,999",,,,,34.39123310118804,7323.0,income
ND,"$25,000 - $34,999",,,,,33.98360037700283,6366.0,income
ND,"$35,000 - $49,999",,,,,34.27587453482191,9405.0,income
ND,"$50,000 - $74,999",,,,,34.305505819158455,11170.0,income
ND,"$75,000 or greater",,,,,31.672400453889004,19388.0,income
ND,Data not reported,,,,,29.057253800396563,12104.0,income
ND,"Less than $15,000",,,,,34.53552421500798,3758.0,income
NE,"$15,000 - $24,999",,,,,33.79020879355804,28066.0,income
NE,"$25,000 - $34,999",,,,,33.9312550900371,22102.0,income
NE,"$35,000 - $49,999",,,,,33.96258036720355,30174.0,income
NE,"$50,000 - $74,999",,,,,33.80541552597627,31779.0,income
